ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
11,5,7,15.122487515000461,-1.4280458767673944e-14,15.3,12.422487515000464,-5.632510389482409e-15,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.008901680992991053,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577491,1398272
12,5,8,15.122487515000469,-1.428045876767396e-14,15.3,17.822487515000464,-2.3020775606302066e-14,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.00890168099299098,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577434,1397403
13,6,9,22.38483542861666,-3.766557573411381e-14,15.3,19.684835428616665,-2.9017627355922274e-14,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.008901680992990586,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577126,1398483
14,6,10,22.384835428616665,-3.7665575734113826e-14,15.3,25.084835428616664,-4.6405892572741923e-14,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.008901680992990506,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577063,1398473
15,11,7,15.122487515000463,-1.4280458767673947e-14,10.1,12.422487515000464,-5.632510389482418e-15,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.6796738985948187,0.008525426388133315,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,66.9164713071932,1398269
16,11,8,15.122487515000465,-1.4280458767673956e-14,10.1,17.822487515000464,-2.302077560630207e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.6796738985948187,0.008525426388133502,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,66.91647130719467,1397204
17,12,9,22.38483542861666,-3.7665575734113814e-14,10.1,19.684835428616665,-2.901762735592228e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.6796738985948187,0.008525426388133632,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,66.91647130719569,1398480
18,12,10,22.38483542861666,-3.766557573411382e-14,10.1,25.084835428616664,-4.640589257274193e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.6796738985948187,0.00852542638813419,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,66.91647130720007,1398470
19,13,7,11.922487515000466,-4.031038467595092e-15,6.999999999999999,12.422487515000466,-5.632510389482432e-15,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.62227711874824,0.013018693945888204,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,102.18433896746176,1398268
20,14,8,18.322487515000464,-2.46393527986406e-14,6.999999999999999,17.822487515000464,-2.302077560630207e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.62227711874824,0.013018693945888097,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,102.18433896746092,1397166
21,15,9,19.184835428616662,-2.7416155434034955e-14,6.999999999999999,19.684835428616665,-2.90176273559223e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.62227711874824,0.013018693945890709,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,102.18433896748142,1398479
22,16,10,25.58483542861666,-4.8024469765080457e-14,6.999999999999999,25.084835428616657,-4.6405892572741923e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.62227711874824,0.013018693945890567,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,102.1843389674803,1398469
