Type,Section,W,Massa linear,Area,d,bf,b2,tw,t,y,yp,bf/2tf,b/t,Ix,Iy,J2,J,ro,H3
L,L127X127X19,35.1,0.0,4500,127,–,127,–,19.1,38.6,17.7,–,6.67,6530000,6530000,554,554000,67.8,0.630
L,L127X127X15.9,29.8,0.0,3810,127,–,127,–,15.9,37.3,15.0,–,8.00,5660000,5660000,330,330000,68.6,0.630
L,L127X127X12.7,24.1,0.0,3090,127,–,127,–,12.7,36.1,12.2,–,10.0,4700000,4700000,174,174000,69.3,0.630
L,L127X127X11.1,21.3,0.0,2720,127,–,127,–,11.1,35.6,10.7,–,11.4,4160000,4160000,118,118000,69.6,0.630
L,L127X127X9.5,18.3,0.0,2350,127,–,127,–,9.53,34.8,9.27,–,13.3,3650000,3650000,76.2,76200,70.1,0.630
L,L127X127X7.9,15.3,0.0,1980,127,–,127,–,7.94,34.3,7.80,–,16.0,3100000,3100000,45.0,45000,70.4,0.630
L,L127X89X19,29.3,0.0,3770,88.9,–,127,–,19.1,44.2,27.9,–,6.67,5790000,2300000,454,454000,59.9,–
L,L127X89X15.9,24.9,0.0,3180,88.9,–,127,–,15.9,42.9,26.9,–,8.00,4990000,2000000,271,271000,60.7,–
L,L127X89X12.7,20.2,0.0,2580,88.9,–,127,–,12.7,41.9,25.4,–,10.0,4160000,1670000,143,143000,61.5,–
L,L127X89X9.5,15.4,0.0,1970,88.9,–,127,–,9.53,40.6,23.7,–,13.3,3230000,1310000,62.4,62400,62.2,–
L,L127X89X7.9,12.9,0.0,1650,88.9,–,127,–,7.94,39.9,23.0,–,16.0,2740000,1120000,36.8,36800,62.7,–
L,L127X89X6.4,10.4,0.0,1340,88.9,–,127,–,6.35,39.4,21.8,–,20.0,2230000,916000,19.3,19300,63.0,–
L,L127X76X12.7,19.0,0.0,2420,76.2,–,127,–,12.7,44.2,31.8,–,10.0,3930000,1060000,134,134000,60.5,–
L,L127X76X11.1,16.7,0.0,2140,76.2,–,127,–,11.1,43.7,31.0,–,11.4,3500000,953000,91.6,91600,60.7,–
L,L127X76X9.5,14.5,0.0,1850,76.2,–,127,–,9.53,42.9,30.2,–,13.3,3060000,837000,58.7,58700,61.2,–
L,L127X76X7.9,12.1,0.0,1550,76.2,–,127,–,7.94,42.4,29.0,–,16.0,2600000,716000,34.6,34600,61.5,–
L,L127X76X6.4,9.80,0.01,1250,76.2,–,127,–,6.35,41.7,28.4,–,20.0,2120000,587000,18.2,18200,61.7,–
L,L102X102X19,27.5,0.0,3510,102,–,102,–,19.1,32.3,17.3,–,5.33,3170000,3170000,425,425000,53.3,0.640
L,L102X102X15.9,23.4,0.0,2970,102,–,102,–,15.9,31.0,14.6,–,6.40,2760000,2760000,254,254000,54.1,0.630
L,L102X102X12.7,19.0,0.0,2420,102,–,102,–,12.7,30.0,11.9,–,8.00,2300000,2300000,134,134000,54.9,0.630
L,L102X102X11.1,16.8,0.0,2130,102,–,102,–,11.1,29.2,10.5,–,9.13,2050000,2050000,91.6,91600,55.4,0.630
L,L102X102X9.5,14.6,0.0,1850,102,–,102,–,9.53,28.7,9.09,–,10.7,1800000,1800000,58.7,58700,55.6,0.630
L,L102X102X7.9,12.2,0.0,1550,102,–,102,–,7.94,28.2,7.62,–,12.8,1530000,1530000,34.6,34600,56.1,0.630
L,L102X102X6.4,9.80,0.01,1250,102,–,102,–,6.35,27.4,6.12,–,16.0,1250000,1250000,18.2,18200,56.4,0.630
L,L102X89X12.7,17.6,0.0,2260,88.9,–,102,–,12.7,31.5,12.7,–,8.00,2210000,1570000,125,125000,51.6,–
L,L102X89X9.5,13.5,0.0,1730,88.9,–,102,–,9.53,30.5,10.8,–,10.7,1730000,1230000,54.9,54900,52.3,–
L,L102X89X7.9,11.4,0.0,1450,88.9,–,102,–,7.94,29.7,10.2,–,12.8,1470000,1050000,32.5,32500,52.8,–
L,L102X89X6.4,9.20,0.01,1170,88.9,–,102,–,6.35,29.0,9.14,–,16.0,1200000,862000,17.1,17100,53.1,–
L,L102X76X15.9,20.2,0.0,2570,76.2,–,102,–,15.9,34.8,20.5,–,6.40,2500000,1190000,220,220000,48.5,–
L,L102X76X12.7,16.4,0.0,2100,76.2,–,102,–,12.7,33.5,19.1,–,8.00,2090000,999000,117,117000,49.3,–
L,L102X76X9.5,12.6,0.0,1610,76.2,–,102,–,9.53,32.3,17.3,–,10.7,1640000,787000,51.2,51200,50.0,–
L,L102X76X7.9,10.7,0.0,1350,76.2,–,102,–,7.94,31.8,16.7,–,12.8,1400000,674000,30.4,30400,50.3,–
L,L102X76X6.4,8.60,0.01,1090,76.2,–,102,–,6.35,31.0,15.7,–,16.0,1140000,554000,16.1,16100,50.5,–
L,L89X89X12.7,16.5,0.0,2100,88.9,–,88.9,–,12.7,26.7,11.8,–,7.00,1510000,1510000,117,117000,47.5,0.630
L,L89X89X11.1,14.6,0.0,1860,88.9,–,88.9,–,11.1,26.2,10.5,–,7.99,1350000,1350000,79.9,79900,48.0,0.630
L,L89X89X9.5,12.6,0.0,1610,88.9,–,88.9,–,9.53,25.4,9.07,–,9.33,1190000,1190000,51.2,51200,48.3,0.630
L,L89X89X7.9,10.7,0.0,1350,88.9,–,88.9,–,7.94,24.9,7.62,–,11.2,1020000,1020000,30.4,30400,48.8,0.630
L,L89X89X6.4,8.60,0.01,1100,88.9,–,88.9,–,6.35,24.2,6.17,–,14.0,832000,832000,16.1,16100,49.0,0.630
L,L89X76X12.7,15.1,0.0,1950,76.2,–,88.9,–,12.7,28.4,12.2,–,7.00,1440000,966000,108,108000,44.5,–
L,L89X76X11.1,13.5,0.0,1720,76.2,–,88.9,–,11.1,27.7,11.4,–,7.99,1290000,870000,74.1,74100,44.7,–
L,L89X76X9.5,11.7,0.0,1500,76.2,–,88.9,–,9.53,27.2,10.3,–,9.33,1140000,766000,47.5,47500,45.2,–
L,L89X76X7.9,9.80,0.01,1260,76.2,–,88.9,–,7.94,26.7,9.65,–,11.2,970000,658000,28.3,28300,45.5,–
L,L89X76X6.4,8.00,0.01,1020,76.2,–,88.9,–,6.35,25.9,8.64,–,14.0,799000,541000,15.0,15000,45.7,–
L,L89X64X12.7,13.9,0.0,1790,63.5,–,88.9,–,12.7,30.5,18.5,–,7.00,1350000,566000,97.4,97400,42.2,–
L,L89X64X9.5,10.7,0.0,1370,63.5,–,88.9,–,9.53,29.2,17.1,–,9.33,1070000,454000,42.9,42900,42.9,–
L,L89X64X7.9,9.00,0.01,1150,63.5,–,88.9,–,7.94,28.7,16.2,–,11.2,916000,390000,25.4,25400,43.4,–
L,L89X64X6.4,7.30,0.01,935,63.5,–,88.9,–,6.35,27.9,15.2,–,14.0,753000,323000,13.4,13400,43.7,–
L,L76X76X12.7,14.0,0.0,1780,76.2,–,76.2,–,12.7,23.6,11.7,–,6.00,916000,916000,95.7,95700,40.4,0.630
L,L76X76X11.1,12.4,0.0,1570,76.2,–,76.2,–,11.1,23.0,10.3,–,6.85,824000,824000,65.3,65300,40.6,0.630
L,L76X76X9.5,10.7,0.0,1360,76.2,–,76.2,–,9.53,22.5,8.94,–,8.00,728000,728000,42.0,42000,41.1,0.630
L,L76X76X7.9,9.10,0.01,1150,76.2,–,76.2,–,7.94,21.8,7.54,–,9.58,624000,624000,24.8,24800,41.7,0.630
L,L76X76X6.4,7.30,0.01,929,76.2,–,76.2,–,6.35,21.2,6.10,–,12.0,512000,512000,13.0,13000,41.9,0.630
L,L76X76X4.8,5.50,0.01,703,76.2,–,76.2,–,4.76,20.6,4.62,–,16.0,395000,395000,5.66,5660,42.4,0.630
L,L76X64X12.7,12.6,0.0,1610,63.5,–,76.2,–,12.7,25.3,12.7,–,6.00,862000,537000,88.7,88700,37.1,–
L,L76X64X11.1,11.3,0.0,1430,63.5,–,76.2,–,11.1,24.7,11.8,–,6.85,778000,487000,60.8,60800,37.6,–
L,L76X64X9.5,9.80,0.01,1250,63.5,–,76.2,–,9.53,24.1,10.8,–,8.00,687000,429000,39.3,39300,37.8,–
L,L76X64X7.9,8.30,0.01,1050,63.5,–,76.2,–,7.94,23.5,9.96,–,9.58,587000,370000,23.3,23300,38.4,–
L,L76X64X6.4,6.70,0.01,852,63.5,–,76.2,–,6.35,22.9,9.14,–,12.0,483000,306000,12.3,12300,38.6,–
L,L76X64X4.8,5.10,0.01,645,63.5,–,76.2,–,4.76,22.2,8.46,–,16.0,374000,236000,5.41,5410,39.1,–
L,L76X51X12.7,11.5,0.0,1460,50.8,–,76.2,–,12.7,27.4,18.8,–,6.00,799000,278000,79.9,79900,35.3,–
L,L76X51X9.5,8.80,0.01,1130,50.8,–,76.2,–,9.53,26.2,16.9,–,8.00,641000,224000,35.6,35600,36.1,–
L,L76X51X7.9,7.40,0.01,955,50.8,–,76.2,–,7.94,25.7,16.1,–,9.58,549000,194000,21.2,21200,36.3,–
L,L76X51X6.4,6.10,0.01,774,50.8,–,76.2,–,6.35,24.9,15.2,–,12.0,454000,162000,11.2,11200,36.8,–
L,L76X51X4.8,4.60,0.00,592,50.8,–,76.2,–,4.76,24.2,14.1,–,16.0,353000,127000,4.95,4950,37.1,–
L,L64X64X12.7,11.4,0.0,1460,63.5,–,63.5,–,12.7,20.4,11.5,–,5.00,508000,508000,78.3,78300,33.0,0.640
L,L64X64X9.5,8.70,0.01,1120,63.5,–,63.5,–,9.53,19.3,8.79,–,6.67,405000,405000,34.7,34700,33.8,0.630
L,L64X64X7.9,7.40,0.01,942,63.5,–,63.5,–,7.94,18.7,7.42,–,7.99,348000,348000,20.6,20600,34.3,0.630
L,L64X64X6.4,6.10,0.01,768,63.5,–,63.5,–,6.35,18.1,6.05,–,10.0,288000,288000,10.9,10900,34.5,0.630
L,L64X64X4.8,4.60,0.00,581,63.5,–,63.5,–,4.76,17.4,4.57,–,13.3,223000,223000,4.75,4750,35.1,0.630
L,L64X51X9.5,7.90,0.01,1000,50.8,–,63.5,–,9.53,21.0,11.0,–,6.67,380000,214000,31.1,31100,31.0,–
L,L64X51X7.9,6.70,0.01,852,50.8,–,63.5,–,7.94,20.4,9.86,–,7.99,329000,186000,18.5,18500,31.2,–
L,L64X51X6.4,5.40,0.01,690,50.8,–,63.5,–,6.35,19.8,9.14,–,10.0,273000,155000,9.78,9780,31.8,–
L,L64X51X4.8,4.20,0.00,528,50.8,–,63.5,–,4.76,19.2,8.10,–,13.3,213000,122000,4.29,4290,32.0,–
L,L64X38X6.4,4.80,0.00,611,38.1,–,63.5,–,6.35,22.0,15.4,–,10.0,247000,66600,8.70,8700,30.2,–
L,L64X38X4.8,3.60,0.00,467,38.1,–,63.5,–,4.76,21.3,14.5,–,13.3,193000,52400,3.83,3830,30.5,–
L,L51X51X9.5,7.00,0.01,884,50.8,–,50.8,–,9.53,16.1,8.71,–,5.33,198000,198000,27.4,27400,26.7,0.640
L,L51X51X7.9,5.80,0.01,748,50.8,–,50.8,–,7.94,15.5,7.37,–,6.39,172000,172000,16.4,16400,26.9,0.640
L,L51X51X6.4,4.70,0.00,609,50.8,–,50.8,–,6.35,14.9,5.99,–,8.00,144000,144000,8.70,8700,27.4,0.630
L,L51X51X4.8,3.60,0.00,466,50.8,–,50.8,–,4.76,14.2,4.60,–,10.6,113000,113000,3.83,3830,27.7,0.630
L,L51X51X3.2,2.40,0.00,317,50.8,–,50.8,–,3.18,13.6,3.12,–,16.0,78700,78700,1.22,1220,27.9,0.630
WT,WT550X303.5,304,0,38600,569,409,–,31.0,–,145,47.2,3.71,–,1110000000,316000000,27800,27800000,225,0.728
WT,WT550X274,274,0,34800,564,406,–,27.9,–,141,42.9,4.06,–,991000000,281000000,20800,20800000,224,0.729
WT,WT550X249.5,250,0.3,31700,559,404,–,26.2,–,140,39.1,4.50,–,903000000,250000000,15500,15500000,224,0.723
WT,WT550X216.5,217,0.2,27500,554,401,–,22.0,–,134,34.3,5.02,–,762000000,217000000,10600,10600000,220,0.733
WT,WT550X195,195,0.2,24800,551,401,–,19.9,–,132,31.0,5.57,–,683000000,192000000,7740,7740000,219,0.731
WT,WT550X171.5,172,0.2,21900,546,401,–,18.0,–,131,27.2,6.45,–,599000000,166000000,5160,5160000,220,0.723
WT,WT500X488,488,0.5,62200,554,429,–,50.0,–,149,72.4,2.39,–,1550000000,599000000,122000,122000000,213,0.763
WT,WT500X441.5,442,0.4,56300,546,424,–,45.5,–,144,66.3,2.58,–,1380000000,524000000,92000,92000000,211,0.762
WT,WT500X374,374,0.4,47700,533,417,–,39.1,–,137,57.2,2.98,–,1140000000,425000000,57400,57400000,208,0.760
WT,WT500X321,321,0.3,40800,523,411,–,34.0,–,132,49.5,3.44,–,953000000,351000000,36700,36700000,205,0.756
WT,WT500X295.5,296,0.3,37600,521,409,–,31.0,–,128,46.0,3.66,–,862000000,321000000,29400,29400000,203,0.760
WT,WT500X277,277,0.3,35300,516,409,–,29.5,–,126,43.2,3.93,–,803000000,295000000,24000,24000000,203,0.756
WT,WT500X269.5,270,0.3,34300,516,406,–,28.4,–,125,42.2,3.99,–,778000000,288000000,22600,22600000,202,0.759
WT,WT500X241.5,242,0.2,30800,511,404,–,25.4,–,121,38.1,4.40,–,687000000,253000000,16500,16500000,200,0.760
WT,WT500X221.5,222,0.2,28100,505,401,–,23.6,–,120,35.1,4.80,–,624000000,227000000,12700,12700000,200,0.756
WT,WT500X206,206,0.2,26300,503,401,–,21.1,–,114,32.8,5.03,–,566000000,217000000,10700,10700000,197,0.770
WT,WT500X185.5,186,0.2,23700,500,401,–,19.1,–,112,29.5,5.55,–,504000000,193000000,7910,7910000,196,0.770
WT,WT500X160.5,161,0.2,20500,495,401,–,16.5,–,109,25.7,6.45,–,429000000,166000000,5160,5160000,195,0.771
WT,WT500X148,148,0.1,18800,490,401,–,16.5,–,114,23.6,7.39,–,411000000,144000000,3800,3800000,199,0.746
WT,WT500X292,292,0.3,37300,528,315,–,36.1,–,151,59.2,2.45,–,945000000,167000000,35500,35500000,210,0.679
WT,WT500X247,247,0.2,31500,518,310,–,31.0,–,146,50.8,2.86,–,783000000,134000000,21900,21900000,208,0.674
WT,WT500X243,243,0.2,30900,518,307,–,30.0,–,144,50.3,2.85,–,766000000,133000000,21400,21400000,207,0.680
WT,WT500X219,219,0.2,27800,513,305,–,26.9,–,140,45.7,3.11,–,678000000,117000000,15900,15900000,205,0.681
WT,WT500X207.5,208,0.2,26500,511,305,–,26.2,–,140,43.4,3.31,–,645000000,109000000,13500,13500000,205,0.675
WT,WT500X196.5,197,0.2,25000,508,302,–,24.4,–,137,41.4,3.45,–,604000000,102000000,11600,11600000,204,0.679
WT,WT500X175,175,0.2,22300,503,302,–,21.1,–,131,36.8,3.77,–,524000000,92400000,8570,8570000,200,0.691
WT,WT500X157,157,0.2,20100,500,300,–,19.1,–,129,33.3,4.17,–,466000000,81200000,6330,6330000,199,0.690
WT,WT500X136,136,0.1,17200,495,300,–,16.5,–,126,28.7,4.92,–,398000000,68700000,4020,4020000,198,0.688
WT,WT500X124.5,125,0.1,15800,490,300,–,16.5,–,132,27.9,5.76,–,374000000,58700000,2910,2910000,203,0.659
WT,WT500X111,111,0.1,14100,485,300,–,16.0,–,138,43.7,7.11,–,339000000,47500000,1940,1940000,209,0.626
WT,WT460X688.5,689,0.7,87700,549,472,–,76.7,–,162,93.0,2.05,–,2140000000,1030000000,294000,294000000,216,0.769
WT,WT460X634.5,635,0.6,81300,549,462,–,64.0,–,151,87.9,2.01,–,1860000000,957000000,256000,256000000,209,0.799
WT,WT460X597,597,0.6,76100,541,457,–,60.5,–,147,83.3,2.10,–,1710000000,874000000,216000,216000000,206,0.797
WT,WT460X538.5,539,0.5,69000,531,452,–,55.1,–,141,76.5,2.28,–,1500000000,770000000,162000,162000000,203,0.798
WT,WT460X485,485,0.5,62100,521,447,–,50.0,–,136,69.3,2.48,–,1320000000,670000000,123000,123000000,201,0.795
WT,WT460X393.5,394,0.4,50200,505,437,–,40.9,–,126,57.4,2.96,–,1020000000,516000000,67800,67800000,196,0.794
WT,WT460X362.5,363,0.4,46300,500,434,–,38.1,–,123,53.3,3.19,–,924000000,466000000,53300,53300000,195,0.792
WT,WT460X328,328,0.3,41900,493,432,–,34.5,–,119,48.5,3.48,–,824000000,415000000,40200,40200000,193,0.792
WT,WT460X294,294,0.3,37500,488,427,–,31.0,–,115,43.9,3.83,–,724000000,365000000,29400,29400000,192,0.792
WT,WT460X268.5,269,0.3,34200,483,424,–,28.4,–,112,40.4,4.16,–,653000000,327000000,22500,22500000,190,0.792
WT,WT460X245.5,246,0.2,31200,478,422,–,25.9,–,109,37.1,4.49,–,587000000,296000000,17500,17500000,189,0.793
WT,WT460X224.5,225,0.2,28700,475,424,–,24.0,–,107,33.8,4.96,–,533000000,270000000,13400,13400000,188,0.792
WT,WT460X210,210,0.2,26800,472,422,–,22.5,–,106,31.8,5.29,–,495000000,249000000,10900,10900000,187,0.791
WT,WT460X195,195,0.2,24800,467,422,–,21.3,–,105,29.5,5.75,–,462000000,227000000,8660,8660000,188,0.785
WT,WT460X184,184,0.2,23400,465,419,–,20.3,–,105,27.9,6.11,–,433000000,211000000,7200,7200000,188,0.783
WT,WT460X171.9,172,0.2,22000,464,419,–,19.3,–,104,26.2,6.54,–,407000000,196000000,5950,5950000,188,0.780
WT,WT460X288,288,0.3,36600,495,323,–,36.1,–,138,56.9,2.48,–,795000000,184000000,35500,35500000,194,0.707
WT,WT460X260.5,261,0.3,33200,490,320,–,33.0,–,135,51.8,2.72,–,716000000,162000000,26700,26700000,194,0.705
WT,WT460X237,237,0.2,30100,485,315,–,30.0,–,131,47.8,2.91,–,637000000,142000000,20400,20400000,192,0.704
WT,WT460X212.5,213,0.2,27100,480,312,–,26.9,–,128,43.4,3.19,–,566000000,125000000,15100,15100000,190,0.706
WT,WT460X190.5,191,0.2,24300,475,310,–,24.4,–,125,39.1,3.53,–,504000000,110000000,11000,11000000,189,0.703
WT,WT460X172.5,173,0.2,21900,472,307,–,22.1,–,122,35.6,3.86,–,450000000,97400000,8200,8200000,188,0.703
WT,WT460X156.5,157,0.2,19900,465,310,–,21.1,–,124,32.3,4.48,–,410000000,85700000,5790,5790000,190,0.687
WT,WT460X144.5,145,0.1,18400,462,307,–,19.4,–,122,30.0,4.81,–,375000000,77800000,4620,4620000,189,0.688
WT,WT460X135.5,136,0.1,17300,462,307,–,18.4,–,121,28.2,5.12,–,352000000,72400000,3830,3830000,189,0.685
WT,WT460X126.5,127,0.1,16100,460,305,–,17.3,–,120,26.4,5.47,–,327000000,66600000,3130,3130000,189,0.684
WT,WT460X119,119,0.1,15200,457,305,–,16.5,–,120,24.9,5.88,–,308000000,61200000,2570,2570000,189,0.678
WT,WT460X111.5,112,0.1,14300,455,305,–,15.9,–,121,23.4,6.37,–,291000000,56200000,2100,2100000,191,0.670
WT,WT460X100.5,101,0.1,12800,452,305,–,15.2,–,126,31.2,7.56,–,265000000,47000000,1450,1450000,194,0.644
WT,WT420X288,288,0.3,36800,457,411,–,32.0,–,108,44.7,3.55,–,608000000,337000000,30800,30800000,179,0.803
WT,WT420X263.5,264,0.3,33600,452,409,–,29.5,–,105,41.1,3.85,–,549000000,303000000,23800,23800000,178,0.803
WT,WT420X236.5,237,0.2,30200,447,406,–,26.4,–,102,37.1,4.23,–,483000000,268000000,17500,17500000,176,0.804
WT,WT420X216.5,217,0.2,27600,442,404,–,24.4,–,99.8,34.3,4.60,–,441000000,242000000,13500,13500000,175,0.802
WT,WT420X196,196,0.2,25000,439,401,–,22.1,–,97.3,31.2,5.03,–,393000000,215000000,10100,10100000,174,0.802
WT,WT420X179.5,180,0.2,23000,434,404,–,21.1,–,97.5,28.4,5.66,–,363000000,194000000,7490,7490000,175,0.792
WT,WT420X164.5,165,0.2,21000,432,401,–,19.7,–,96.8,26.2,6.20,–,333000000,175000000,5790,5790000,175,0.788
WT,WT420X149.5,150,0.2,19200,427,399,–,18.2,–,95.8,23.9,6.85,–,302000000,156000000,4330,4330000,175,0.784
WT,WT420X125.5,126,0.1,15900,429,292,–,17.0,–,107,27.4,4.71,–,270000000,64500000,3670,3670000,171,0.715
WT,WT420X113,113,0.1,14500,424,295,–,16.1,–,108,24.6,5.48,–,246000000,56600000,2560,2560000,173,0.700
WT,WT420X105,105,0.1,13400,424,292,–,15.4,–,109,22.9,6.01,–,230000000,51200000,2010,2010000,174,0.691
WT,WT420X96.5,96.5,0.1,12300,419,292,–,14.7,–,111,21.1,6.73,–,214000000,45400000,1530,1530000,176,0.677
WT,WT420X88,88.0,0.1,11200,417,292,–,14.0,–,114,21.9,7.76,–,195000000,38900000,1100,1100000,178,0.659
WT,WT380X291,291,0.3,37200,422,396,–,34.5,–,102,47.0,3.19,–,508000000,322000000,35900,35900000,165,0.817
WT,WT380X265.5,266,0.3,33900,417,394,–,31.5,–,98.3,43.2,3.45,–,454000000,288000000,27700,27700000,164,0.818
WT,WT380X242,242,0.2,31000,411,391,–,29.0,–,95.5,39.6,3.75,–,408000000,259000000,21300,21300000,163,0.817
WT,WT380X217,217,0.2,27700,406,389,–,25.9,–,91.9,35.8,4.12,–,358000000,229000000,15600,15600000,161,0.819
WT,WT380X194.5,195,0.2,24800,401,386,–,23.6,–,89.9,32.3,4.59,–,318000000,200000000,11200,11200000,160,0.815
WT,WT380X175,175,0.2,22400,399,384,–,21.1,–,86.6,29.2,5.02,–,281000000,178000000,8370,8370000,158,0.818
WT,WT380X157,157,0.2,20100,394,384,–,19.7,–,86.1,26.2,5.74,–,254000000,157000000,5870,5870000,159,0.809
WT,WT380X142,142,0.1,18100,389,381,–,18.0,–,84.8,23.7,6.35,–,229000000,140000000,4370,4370000,159,0.807
WT,WT380X128.5,129,0.1,16400,386,381,–,16.6,–,84.1,21.6,7.04,–,207000000,124000000,3240,3240000,158,0.802
WT,WT380X110,110,0.1,14100,389,267,–,16.5,–,97.5,26.4,4.44,–,194000000,47500000,3010,3010000,155,0.716
WT,WT380X98,98.0,0.1,12600,386,267,–,15.6,–,99.1,23.4,5.27,–,175000000,40800000,2020,2020000,157,0.698
WT,WT380X92.5,92.5,0.1,11700,384,267,–,14.9,–,99.1,22.0,5.65,–,165000000,37600000,1660,1660000,157,0.694
WT,WT380X86.5,86.5,0.1,11000,381,267,–,14.4,–,100,20.7,6.17,–,155000000,34200000,1340,1340000,158,0.683
WT,WT380X80.5,80.5,0.1,10300,378,267,–,13.8,–,102,19.2,6.89,–,145000000,30400000,1040,1040000,160,0.668
WT,WT380X73.5,73.5,0.1,9350,376,267,–,13.2,–,104,23.2,7.80,–,134000000,26600000,783,783000,162,0.653
WT,WT380X67,67.0,0.1,8520,376,264,–,11.9,–,103,21.2,8.52,–,121000000,23900000,587,587000,161,0.654
WT,WT345X401,401,0.4,51200,414,389,–,50.0,–,110,66.0,2.15,–,637000000,441000000,103000,103000000,159,0.831
WT,WT345X274,274,0.3,35000,386,373,–,35.1,–,94.2,47.0,2.96,–,391000000,273000000,35200,35200000,151,0.828
WT,WT345X250,250,0.3,31900,381,371,–,32.0,–,90.9,43.2,3.19,–,349000000,244000000,27200,27200000,150,0.829
WT,WT345X228.5,229,0.2,29200,376,366,–,29.5,–,88.1,39.6,3.46,–,313000000,219000000,21000,21000000,149,0.828
WT,WT345X209.5,210,0.2,26800,371,366,–,26.9,–,85.1,36.6,3.72,–,282000000,199000000,16500,16500000,147,0.830
WT,WT345X192,192,0.2,24600,368,363,–,24.9,–,83.1,33.8,4.03,–,255000000,179000000,12800,12800000,146,0.828
WT,WT345X175,175,0.2,22400,363,361,–,23.1,–,81.3,31.0,4.41,–,231000000,160000000,9740,9740000,146,0.825
WT,WT345X161.5,162,0.2,20600,361,358,–,21.1,–,78.7,28.7,4.71,–,209000000,147000000,7830,7830000,144,0.828
WT,WT345X144.5,145,0.1,18500,358,356,–,19.1,–,76.7,25.9,5.24,–,185000000,129000000,5620,5620000,143,0.827
WT,WT345X132.5,133,0.1,17000,353,358,–,18.4,–,77.2,23.7,5.92,–,172000000,116000000,4160,4160000,145,0.815
WT,WT345X120,120,0.1,15400,351,356,–,16.8,–,75.7,21.6,6.49,–,155000000,103000000,3130,3130000,144,0.814
WT,WT345X108.5,109,0.1,13900,348,356,–,15.4,–,74.7,19.6,7.16,–,140000000,92400000,2340,2340000,143,0.812
WT,WT345X96,96.0,0.1,12200,351,254,–,15.5,–,86.1,24.0,4.55,–,134000000,38400000,2310,2310000,139,0.732
WT,WT345X85,85.0,0.1,10800,345,257,–,14.5,–,86.9,21.1,5.41,–,120000000,33000000,1520,1520000,141,0.716
WT,WT345X76,76.0,0.1,9680,343,254,–,13.1,–,85.6,19.1,6.03,–,107000000,29000000,1090,1090000,140,0.713
WT,WT345X70,70.0,0.1,8900,343,254,–,12.4,–,86.6,17.6,6.70,–,99500000,25800000,837,837000,141,0.702
WT,WT345X62.5,62.5,0.1,8000,340,254,–,11.7,–,88.4,15.8,7.78,–,89900000,22000000,583,583000,143,0.685
WT,WT305X275.5,276,0.3,35200,356,348,–,38.6,–,90.7,50.5,2.51,–,324000000,242000000,41600,41600000,139,0.837
WT,WT305X249,249,0.2,31700,351,343,–,35.1,–,86.9,46.2,2.73,–,286000000,214000000,31500,31500000,137,0.837
WT,WT305X227.5,228,0.2,29000,345,340,–,32.0,–,83.6,42.4,2.94,–,254000000,191000000,24300,24300000,136,0.837
WT,WT305X207.5,208,0.2,26500,340,338,–,29.5,–,80.8,39.1,3.18,–,227000000,171000000,18800,18800000,134,0.837
WT,WT305X186,186,0.2,23700,335,335,–,26.4,–,77.5,35.3,3.49,–,199000000,151000000,13800,13800000,133,0.838
WT,WT305X170.5,171,0.2,21700,330,333,–,24.4,–,75.2,32.5,3.79,–,179000000,136000000,10600,10600000,132,0.836
WT,WT305X153.5,154,0.2,19500,328,330,–,22.1,–,72.9,29.7,4.14,–,159000000,120000000,7950,7950000,131,0.836
WT,WT305X142.5,143,0.1,18200,323,330,–,20.6,–,71.1,27.7,4.43,–,146000000,110000000,6370,6370000,130,0.836
WT,WT305X131,131,0.1,16600,320,328,–,19.1,–,69.6,25.4,4.81,–,133000000,99900000,4950,4950000,129,0.835
WT,WT305X120.5,121,0.1,15400,318,330,–,17.9,–,68.6,23.4,5.31,–,122000000,92000000,3840,3840000,129,0.832
WT,WT305X108.5,109,0.1,13900,315,328,–,16.5,–,67.6,21.2,5.92,–,110000000,81200000,2790,2790000,129,0.827
WT,WT305X97.5,97.5,0.1,12500,310,328,–,15.4,–,67.3,19.1,6.70,–,99100000,70800000,1970,1970000,129,0.818
WT,WT305X87,87.0,0.1,11100,307,325,–,14.0,–,66.5,17.1,7.53,–,88200000,62000000,1390,1390000,129,0.814
WT,WT305X77.5,77.5,0.1,9870,305,325,–,12.7,–,65.8,15.2,8.50,–,78700000,54100000,978,978000,129,0.809
WT,WT305X76.5,76.5,0.1,9740,312,229,–,14.0,–,76.5,21.4,4.59,–,84900000,24800000,1470,1470000,124,0.733
WT,WT305X70,70.0,0.1,8900,310,230,–,13.1,–,75.9,19.4,5.18,–,77400000,22700000,1090,1090000,124,0.727
WT,WT305X62.5,62.5,0.1,8000,307,229,–,11.9,–,75.4,17.4,5.86,–,69100000,19600000,766,766000,124,0.720
WT,WT305X56.5,56.5,0.1,7230,305,228,–,11.2,–,76.2,15.8,6.61,–,62900000,17200000,558,558000,125,0.709
WT,WT305X50.5,50.5,0.1,6450,302,228,–,10.5,–,77.7,14.2,7.66,–,57000000,14700000,388,388000,127,0.691
WT,WT305X46,46.0,0.0,5880,302,179,–,10.9,–,87.9,32.5,5.97,–,54500000,7160000,354,354000,130,0.619
WT,WT305X41,41.0,0.0,5230,300,178,–,10.0,–,88.9,38.9,6.94,–,48700000,6040000,245,245000,131,0.606
