ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,BIM ID
11,5,7,49.61446035105138,-4.6851898844074614e-14,50.196850393700785,40.756192634515955,-1.8479364794889792e-14,41.33858267716533,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.527482343856173,0.3143598975284886,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398272
12,5,8,49.6144603510514,-4.6851898844074665e-14,50.196850393700785,58.47272806758682,-7.552747902330073e-14,41.33858267716533,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.527482343856173,0.31435989752848603,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397403
13,6,9,73.44106111750872,-1.2357472353711877e-13,50.196850393700785,64.5827934009733,-9.520218948793396e-14,41.33858267716533,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.527482343856173,0.3143598975284721,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398483
14,6,10,73.44106111750874,-1.2357472353711884e-13,50.196850393700785,82.29932883404416,-1.5225030371634488e-13,41.33858267716533,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.527482343856173,0.31435989752846927,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398473
15,11,7,49.614460351051385,-4.685189884407462e-14,33.13648293963254,40.756192634515955,-1.847936479488982e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.072420927148354,0.3010725915555122,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398269
16,11,8,49.61446035105139,-4.685189884407465e-14,33.13648293963254,58.47272806758682,-7.552747902330074e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.072420927148354,0.3010725915555188,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397204
17,12,9,73.44106111750872,-1.235747235371188e-13,33.13648293963254,64.5827934009733,-9.520218948793399e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.072420927148354,0.3010725915555234,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398480
18,12,10,73.44106111750872,-1.2357472353711882e-13,33.13648293963254,82.29932883404416,-1.522503037163449e-13,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,12.072420927148354,0.3010725915555431,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398470
19,13,7,39.1157726870094,-1.3225191822818542e-14,22.965879265091857,40.75619263451596,-1.8479364794889868e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,18.44579107200866,0.45975083784810306,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398268
20,14,8,60.11314801509338,-8.083777164908333e-14,22.965879265091857,58.472728067586814,-7.552747902330074e-14,41.33858267716535,W 250x17.9,Beam,AÇO ASTM - A572 GR50,18.44579107200866,0.4597508378480993,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397166
