ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,BIM ID
20,15,7,78.75688976378557,-1.398426808120657e-13,9.842519685038699,98.47719816273766,-2.0368036361291767e-13,19.685039370078368,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307878395,0.549186498586257,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1391186
21,16,7,98.47719816273766,-2.0341457921881485e-13,9.842519685039207,98.47719816273768,-2.0341457921881485e-13,19.68503937007878,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039573,0.7225074942067705,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1391188
22,17,7,118.16223753281842,-3.8048820830249774e-13,9.842519685038642,98.47719816273766,-2.0368036361291767e-13,19.685039370078368,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.00854308562981,0.5484006730588472,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1391187
23,17,8,118.16223753281838,-3.804882083024977e-13,9.842519685038706,118.16223753281841,-3.804882083024978e-13,19.685039370077927,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714479,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1391200
24,18,8,137.88254593176956,-3.298934796615372e-13,9.842519685038651,118.16223753281841,-2.667304392777794e-13,19.68503937007839,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307877567,0.5491864985862023,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1391205
25,18,9,137.88254593176953,-3.298934796615371e-13,9.842519685039163,137.88254593176956,-3.2989347966153717e-13,19.685039370078396,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039234,0.7225074942068266,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1391203
26,10,11,-19.72030839895114,1.7759545182556739e-13,9.842519685038774,0.0,1.1375776902471846e-13,9.84251968503871,W 310x21,Beam,AÇO ASTM - A572 GR50,19.72030839895114,0.5773085559769194,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1386848
27,11,12,-1.0835776720341532e-12,1.1368683772162274e-13,9.842519685039221,19.685039370079743,5.008272061797085e-14,9.842519685039221,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370080826,0.5788409507278848,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1372973
28,13,12,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,19.685039370081746,5.0082720617964416e-14,9.842519685039221,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370079743,0.578432453928782,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1385672
29,14,13,59.09038713911262,-7.617885853329881e-14,9.84251968503866,39.370078740161496,-1.267735871742594e-13,9.842519685038653,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398951126,0.577308555976922,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1388669
30,14,15,59.09038713911261,-1.9027264537836516e-13,9.842519685038763,78.79215879265692,-1.3995685210351988e-13,9.842519685038699,W 310x21,Beam,AÇO ASTM - A572 GR50,19.701771653544313,0.5773085559769194,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391190
31,15,16,78.79215879265584,-1.400277834066156e-13,9.842519685039257,98.47719816273667,-2.036319005102675e-13,9.842519685039257,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370080826,0.5788409507278848,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391172
32,17,16,118.16223753281841,-3.804882083024978e-13,9.842519685039257,98.47719816273866,-2.0363190051027396e-13,9.842519685039257,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370079743,0.578432453928782,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391179
33,18,17,137.88254593176953,-3.2989347966153717e-13,9.84251968503865,118.16223753281841,-3.8048820830249774e-13,9.842519685038642,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398951126,0.577308555976922,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391201
34,19,10,-19.720308398951126,6.350166498050098e-14,6.564252743815722e-14,-19.720308398951126,6.350166498050095e-14,9.842519685039287,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714621,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1386370
