Section,Massa,d,bf,tw,tf,h,d',Area,Ix,Wx,rx,Zx,Iy,Wy,ry,Zy
W 530 x 101.0,0.101,537,210,10.9,17.4,502,470,13000,621980000,2316500,218.7,2640400,26930000,256500,45.5,400600
W 530 x 109.0,0.109,539,211,11.6,18.8,501,469,13970,672260000,2494500,219.4,2847000,29520000,279800,46,437400
W 530 x 123.0,0.123,544,212,13.1,21.2,502,470,15780,765770000,2815300,220.3,3228100,33780000,318700,46.3,500200
W 530 x 138.0,0.138,549,214,14.7,23.8,501,469,17780,870790000,3172300,221.3,3653300,39040000,364800,46.9,574500
W 610 x 82.0,0.082,599,178,10,12.8,573,541,10510,566280000,1890800,232.1,2219900,12100000,135900,33.9,219000
W 610 x 92.0,0.092,603,179,10.9,15,573,541,11840,652770000,2165100,234.8,2535800,14420000,161100,34.9,259300
W 610 x 101.0,0.101,603,228,10.5,14.9,573,541,13030,770030000,2554000,243.1,2922700,29510000,258800,47.6,405000
W 610 x 113.0,0.113,608,228,11.2,17.3,573,541,14530,881960000,2901200,246.4,3312900,34260000,300500,48.6,469700
W 610 x 125.0,0.125,612,229,11.9,19.6,573,541,16010,991840000,3241300,248.9,3697300,39330000,343500,49.6,536300
W 610 x 140.0,0.14,617,230,13.1,22.2,573,541,17930,1126190000,3650500,250.6,4173100,45150000,392600,50.2,614000
W 610 x 153.0,0.1542,623,229,14,24.9,573,541,19650,1257830000,4038000,253,4622700,49990000,436600,50.4,683300
W 610 x 155.0,0.155,611,324,12.7,19,573,541,19810,1295830000,4241700,255.8,4749100,107830000,665600,73.8,1022600
W 610 x 174.0,0.174,616,325,14,21.6,573,541,22280,1477540000,4797200,257.5,5383300,123740000,761500,74.5,1171100
W 610 x 195.0,0.195,622,327,15.4,24.4,573,541,25010,1684840000,5417500,259.6,6095400,142400000,870900,75.5,1341000
W 610 x 217.0,0.217,628,328,16.5,27.7,573,541,27840,1913950000,6095400,262.2,6868800,163160000,994900,76.6,1531600
